Category ID,Category Name,Old URL Slug,Image Path,Recommended New Slug
222,"Fruits & Vegetables",,,fruits-vegetables
223,"Fruits",,catalog/fruits-cat-logo.png,fruits
224,"Vegetables",,catalog/vegetables-cat-logo.jpg,vegetables
225,"Rice",,,rice
226,"Basmati rice",,catalog/basmatirice-cat-logo.jpg,basmati-rice
227,"Jasmin rice",,catalog/jasminerice-cat-logo.jpg,jasmin-rice
228,"Round rice",,catalog/roundrice-cat-logo.jpg,round-rice
229,"Sona Masoori Rice",,catalog/sonamasoririce-cat-logo.jpg,sona-masoori-rice
230,"Ponny Rice",,catalog/ponnyrice-cat-logo.jpg,ponny-rice
231,"Idly rice",,catalog/idlirice-cat-logo.jpg,idly-rice
232,"Other varieties",,catalog/mixrice-cat-logo.jpg,other-varieties
233,"Poha",,catalog/poharice-cat-logo.jpg,poha
235,"Mamra/Puffed Rice",,catalog/mamrarice-cat-logo.jpg,mamrapuffed-rice
236,"Flour",,,flour
237,"Chapati flour",,catalog/breadflour-cat-logo.jpg,chapati-flour
238,"Rice flour",,catalog/riceflour-cat-logo.jpg,rice-flour
239,"Semolina",,catalog/samolina-cat-logo.jpg,semolina
240,"Corn flour",,catalog/cornflour-cat-logo.jpg,corn-flour
241,"Chickpea flour",,catalog/chickpeaflour-cat-logo.jpg,chickpea-flour
242,"Other",,catalog/otherflours-cat-logo.jpg,other
243,"Pulses",,,pulses
244,"Beans",,catalog/beans-cat-logo.jpg,beans
