ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
61,simple,"National Pulao Masala",,"National Pulao Masala",1,0,visible,,,,,taxable,,1,47,,0,0,70.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Pulao.jpg,,,,,"National Chatpati Achari Miryani Masala, National Chicken Biryani Masala","National Bombay Biryani Masala, National Mutton Biryani Masala",,,0,"National Foods"
63,simple,"National Quorma Masala",,"National Quorma Masala",1,0,visible,,,,,taxable,,1,50,,0,0,50.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Quorma.jpg,,,,,"National Qeema Masala","Shan Korma Masala, Shan Kunna Masala",,,0,"National Foods"
65,simple,"National Murgh Cholay Masala",,"National Murgh Cholay Masala",1,0,visible,,,,,taxable,,1,50,,0,0,50.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Murgh-Cholay.jpg,,,,,"TRS Chick Peas","Shan Chana Masala, National Sabzi/Pav Bhaji Masala",,,0,"National Foods"
67,simple,"National Paya Masala",,"National Paya Masala",1,0,visible,,,,,taxable,,1,50,,0,0,45.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Paya.jpg,,,,,"National Butter Chicken Masala, National Achar Gosht Masala","Shan Paya Masala, National Bihari Kabab Masala",,,0,"National Foods"
69,simple,"National Chatpati Achari Miryani Masala",,"National Chatpati Achari Miryani Masala",1,0,visible,,,,,taxable,,1,50,,0,0,55.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Chatpati-Achari-Biryani.jpg,,,,,"National Mutton Biryani Masala, National Pulao Masala","Shan Bombay Biryani Masala, National Bombay Biryani Masala, National Masaledar Bombay Biryani Masala",,,0,"National Foods"
71,simple,"National Chicken Biryani Masala",,"National Chicken Biryani Masala",1,0,visible,,,,,taxable,,1,47,,0,0,45.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Chicken-Biryani.jpg,,,,,"National Mutton Biryani Masala, National Pulao Masala","Shan Bombay Biryani Masala, National Masaledar Bombay Biryani Masala",,,0,"National Foods"
73,simple,"National Delhi Nihari Masala",,"National Delhi Nihari Masala",1,0,visible,,,,,taxable,,1,50,,0,0,65.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Delhi-Nehari.jpg,,,,,,"Shan Nihari Masala",,,0,"National Foods"
75,simple,"National Fish Masala",,"National Fish Masala",1,0,visible,,,,,taxable,,1,50,,0,0,50.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Fish-Masala.jpg,,,,,"National Fried Fish Masala","Shan Lahori Fish Masala, Shan Fried Fish Masala",,,0,"National Foods"
77,simple,"National Haleem Masala",,"National Haleem Masala",1,0,visible,,,,,taxable,,1,46,,0,0,50.00000000,,,,1,,,"16,9500","Asia, Middle East, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Haleem.jpg,,,,,,"Shan Easy Cook Haleem Mix",,,0,"National Foods"
79,simple,"National Kofta Masala",,"National Kofta Masala",1,0,visible,,,,,taxable,,1,49,,0,0,50.00000000,,,,1,,,"16,9500","Asia, Spices\, Sauces and Seasonings > Spice Mix, Spices\, Sauces and Seasonings",,,https://crm.cashncarry.se/wp-content/uploads/2026/01/Kofta.jpg,,,,,"National Qeema Masala","Shan Kofta Masala, Shan Korma Masala",,,0,"National Foods"
